pca1,pca2,region_name,geography_name,geography_code,region_code
-38670.6459741914,1656.4715836934652,West Midlands,Rugby,E07000220,E12000005
-20996.574521949373,4985.358617576408,West Midlands,Stratford-on-Avon,E07000221,E12000005
-10376.225768580967,-2353.425772689135,West Midlands,Warwick,E07000222,E12000005
511504.8659904431,-17603.472191958743,West Midlands,Birmingham,E08000025,E12000005
90491.21934620946,2268.0882543507782,West Midlands,Coventry,E08000026,E12000005
105656.8782334804,22301.662458897954,West Midlands,Dudley,E08000027,E12000005
76356.66317861098,8909.234330400788,West Midlands,Sandwell,E08000028,E12000005
35408.048327567616,8870.103177931287,West Midlands,Solihull,E08000029,E12000005
55504.50895797022,12558.259734884967,West Midlands,Walsall,E08000030,E12000005
39406.69576520068,4983.511722459328,West Midlands,Wolverhampton,E08000031,E12000005
-43940.747735711855,3047.819477244588,West Midlands,Bromsgrove,E07000234,E12000005
-62760.13834121936,224.63316988521697,West Midlands,Malvern Hills,E07000235,E12000005
-49671.22961745326,3300.0129957758754,West Midlands,Redditch,E07000236,E12000005
-38692.515016609046,2041.4396584411766,West Midlands,Worcester,E07000237,E12000005
-24452.76363500927,7959.710163541546,West Midlands,Wychavon,E07000238,E12000005
-43568.744732556355,5054.8295044369215,West Midlands,Wyre Forest,E07000239,E12000005
-453.2728890731501,1016.9605793408471,East,Bedford,E06000055,E12000006
88062.65456499242,7290.947847234294,East,Central Bedfordshire,E06000056,E12000006
15483.813113636912,-5422.998283203336,East,Luton,E06000032,E12000006
17882.771989632005,2031.9985035123989,East,Peterborough,E06000031,E12000006
7008.4148495695335,-6644.353292501706,East,Southend-on-Sea,E06000033,E12000006
3489.2913401965952,4873.627399816457,East,Thurrock,E06000034,E12000006
-28439.386399797975,-16112.810684275342,East,Cambridge,E07000008,E12000006
-48833.18144557787,-1186.3565454911698,East,East Cambridgeshire,E07000009,E12000006
-47060.52621552464,4092.4346139113222,East,Fenland,E07000010,E12000006
20730.810440840036,2782.7436692549845,East,Huntingdonshire,E07000011,E12000006
4810.323067277828,-4631.098607635983,East,South Cambridgeshire,E07000012,E12000006
11441.955502322338,297.1170929481929,East,Basildon,E07000066,E12000006
-1958.5735924344774,1268.5826859180595,East,Braintree,E07000067,E12000006
-60230.67564104509,-1475.1539257835043,East,Brentwood,E07000068,E12000006
-52437.76492536593,-985.8716739864605,East,Castle Point,E07000069,E12000006
16609.984365745855,-1007.092486535067,East,Chelmsford,E07000070,E12000006
14922.353300388677,-2126.2975704250257,East,Colchester,E07000071,E12000006
-22485.706462949758,-1505.2619215657705,East,Epping Forest,E07000072,E12000006
-54860.89751222744,-3469.242247863945,East,Harlow,E07000073,E12000006
-69607.94987594079,-1174.9789480500658,East,Maldon,E07000074,E12000006
-53966.57175166027,-2253.0443428078875,East,Rochford,E07000075,E12000006
-31076.74720477691,693.8135084852769,East,Tendring,E07000076,E12000006
-53396.43863606765,-1279.2243970951395,East,Uttlesford,E07000077,E12000006
-44878.20397451762,1046.3166756678588,East,Broxbourne,E07000095,E12000006
-4412.151847548855,-4477.864164349987,East,Dacorum,E07000096,E12000006
-44320.77110059058,-6516.906385834012,East,Hertsmere,E07000098,E12000006
-17806.402331827296,-4671.838447334679,East,North Hertfordshire,E07000099,E12000006
-50004.78598804452,-3764.28152389273,East,Three Rivers,E07000102,E12000006
-45484.6282810587,-5458.022808961338,East,Watford,E07000103,E12000006
-21219.736502382555,4086.3129131016312,East,Breckland,E07000143,E12000006
-20974.412828195967,962.4558785878953,East,Broadland,E07000144,E12000006
-52621.20062612549,-582.2458380290789,East,Great Yarmouth,E07000145,E12000006
-11136.237046810238,7777.913712466412,East,King's Lynn and West Norfolk,E07000146,E12000006
-49184.15199068329,775.3343741320572,East,North Norfolk,E07000147,E12000006
-23593.823000673034,-13653.365751768322,East,Norwich,E07000148,E12000006
-23106.436973441872,88.43878214083472,East,South Norfolk,E07000149,E12000006
-51079.918178647444,-600.0949419184444,East,Babergh,E07000200,E12000006
-68199.44621864888,-1721.4801257757244,East,Forest Heath,E07000201,E12000006
-17243.901263025877,-5616.789076848196,East,Ipswich,E07000202,E12000006
-41314.97904163235,552.2334803893068,East,Mid Suffolk,E07000203,E12000006
-28981.878452256035,1402.5030183966505,East,St Edmundsbury,E07000204,E12000006
-26468.233030631407,-785.5372044373026,East,Suffolk Coastal,E07000205,E12000006
-40593.10203586185,-544.8305926526343,East,Waveney,E07000206,E12000006
36037.52979751209,-39724.19572909084,London,Camden,E09000007,E12000007
-110004.96124595373,-6261.587246787604,London,City of London,E09000001,E12000007
53077.47636965579,-39122.76305653246,London,Hackney,E09000012,E12000007
32075.07411825992,-15549.471399797934,London,Hammersmith and Fulham,E09000013,E12000007
64693.44843749885,-26372.706728383884,London,Haringey,E09000014,E12000007
36299.0594900752,-35598.03527535867,London,Islington,E09000019,E12000007
4464.575631194268,-14665.6471245962,London,Kensington and Chelsea,E09000020,E12000007
131041.22920970609,-28369.597753418057,London,Lambeth,E09000022,E12000007
85992.71439185734,-17905.819845972594,London,Lewisham,E09000023,E12000007
70470.76155832992,-25117.33037616946,London,Newham,E09000025,E12000007
102262.66660778977,-24180.8731579689,London,Southwark,E09000028,E12000007
49579.19615624416,-49275.80083310643,London,Tower Hamlets,E09000030,E12000007
150005.17985496653,-27388.46317200034,London,Wandsworth,E09000032,E12000007
45150.12302951401,-26746.21269090171,London,Westminster,E09000033,E12000007
-3108.7941553374885,-611.710552068864,London,Barking and Dagenham,E09000002,E12000007
125567.18970877063,-30066.955196698098,London,Barnet,E09000003,E12000007
52350.623952141425,2934.5144533172925,London,Bexley,E09000004,E12000007
91332.43774845965,-24818.139534595797,London,Brent,E09000005,E12000007
114749.71093056514,-4508.771418943043,London,Bromley,E09000006,E12000007
143188.17875798466,-5005.442414795766,London,Croydon,E09000008,E12000007
120070.70991235785,-22412.762893606385,London,Ealing,E09000009,E12000007
88910.13999740274,-5020.402595174997,London,Enfield,E09000010,E12000007
58879.82228705193,-11458.10573545443,London,Greenwich,E09000011,E12000007
39391.624780623984,-26031.177439405878,London,Harrow,E09000015,E12000007
58368.841414030925,7145.559513291214,London,Havering,E09000016,E12000007
73328.3422014696,-8899.57821591219,London,Hillingdon,E09000017,E12000007
62770.37131036434,-21964.286641760333,London,Hounslow,E09000018,E12000007
5685.8882072452925,-10910.6170060494,London,Kingston upon Thames,E09000021,E12000007
40571.91289344451,-8663.88603016361,London,Merton,E09000024,E12000007
56069.93182706002,-28887.123838619118,London,Redbridge,E09000026,E12000007
32064.236709206805,-15162.32846114128,London,Richmond upon Thames,E09000027,E12000007
31852.452539317754,-3029.135055183708,London,Sutton,E09000029,E12000007
61690.14979434987,-13751.825991833817,London,Waltham Forest,E09000031,E12000007
-21712.048254862897,-2181.6216694846566,South East,Bracknell Forest,E06000036,E12000008
89107.55977851304,-35242.39646637751,South East,Brighton and Hove,E06000043,E12000008
-25135.5568709935,-757.6277506521276,South East,Isle of Wight,E06000046,E12000008
77508.09725765606,3573.330719193462,South East,Medway,E06000035,E12000008
76903.13953311791,-7062.971732294605,South East,Milton Keynes,E06000042,E12000008
29862.39946664552,-5285.262668314809,South East,Portsmouth,E06000044,E12000008
2049.6630806388607,-12324.567339171559,South East,Reading,E06000038,E12000008
-21498.03518735437,-10729.515130304122,South East,Slough,E06000039,E12000008
53959.74140692843,-6582.5751335107225,South East,Southampton,E06000045,E12000008
9608.921770194736,969.2890576688665,South East,West Berkshire,E06000037,E12000008
-3997.3299540263415,-2433.5117886927846,South East,Windsor and Maidenhead,E06000040,E12000008
7152.2425492111615,-4820.964609455302,South East,Wokingham,E06000041,E12000008
23478.67456004087,1847.4207610658138,South East,Aylesbury Vale,E07000004,E12000008
-47742.474676944024,-3133.714723652647,South East,Chiltern,E07000005,E12000008
-66566.48301993574,-3413.974877143297,South East,South Bucks,E07000006,E12000008
14890.378131591871,-2965.5318446807983,South East,Wycombe,E07000007,E12000008
-48131.38218116458,-3174.977166991895,South East,Eastbourne,E07000061,E12000008
-54985.399882717036,-5943.898433900327,South East,Hastings,E07000062,E12000008
-47101.34617327657,-5562.482580464685,South East,Lewes,E07000063,E12000008
-58186.52813020762,-1796.3714192323155,South East,Rother,E07000064,E12000008
-6226.215389063461,227.24697518239412,South East,Wealden,E07000065,E12000008
21469.61716778736,-1299.369026414884,South East,Basingstoke and Deane,E07000084,E12000008
-25687.835194649026,533.8720842682249,South East,East Hampshire,E07000085,E12000008
-15146.751165510112,221.28186138278116,South East,Eastleigh,E07000086,E12000008
-29293.433573537157,544.5000133439245,South East,Fareham,E07000087,E12000008
-55054.304840393124,-1287.485965960038,South East,Gosport,E07000088,E12000008
-42559.469419995345,-1916.2875124915424,South East,Hart,E07000089,E12000008
-31070.84856049206,-933.7660764928343,South East,Havant,E07000090,E12000008
12616.454723548426,3654.8566003294764,South East,New Forest,E07000091,E12000008
-39395.04842582827,-2658.7462752727456,South East,Rushmoor,E07000092,E12000008
-23892.21652934452,2284.906945999397,South East,Test Valley,E07000093,E12000008
-27981.330308550507,-1730.5752170330063,South East,Winchester,E07000094,E12000008
-27531.8282527492,1272.226116996425,South East,Ashford,E07000105,E12000008
-15161.793569602083,-1373.473936028388,South East,Canterbury,E07000106,E12000008
-40539.4673984606,-1351.4015205401454,South East,Dartford,E07000107,E12000008
-38530.444679676024,558.5691771586854,South East,Dover,E07000108,E12000008
-44253.33823982235,9.278884666211137,South East,Gravesham,E07000109,E12000008
4177.38162550515,2497.916673716004,South East,Maidstone,E07000110,E12000008
-29722.774568175635,-1099.879609386854,South East,Sevenoaks,E07000111,E12000008
-42274.39483821308,-959.6243576913191,South East,Folkestone and Hythe,E07000112,E12000008
-19004.211873109307,3273.5933400534072,South East,Swale,E07000113,E12000008
-31102.832819668165,-276.3817020049069,South East,Thanet,E07000114,E12000008
-23666.495661138753,-40.98168337627794,South East,Tonbridge and Malling,E07000115,E12000008
-28444.92191606189,-3346.7706886285036,South East,Tunbridge Wells,E07000116,E12000008
-361.63876710987455,4456.9329089782,South East,Cherwell,E07000177,E12000008
-12055.410775397919,-12472.486088485062,South East,Oxford,E07000178,E12000008
