,date,geography,geography_code,Industry,value
4846,2011,North Norfolk,E07000147, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7337
4873,2011,Norwich,E07000148, G Wholesale and retail trade; repair of motor vehicles and motor cycles,16569
4910,2011,South Norfolk,E07000149, Q Human health and social work activities,11246
4927,2011,Babergh,E07000200, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6634
4954,2011,Forest Heath,E07000201, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4648
4981,2011,Ipswich,E07000202, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12067
5008,2011,Mid Suffolk,E07000203, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5896
5035,2011,St Edmundsbury,E07000204, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10409
5062,2011,Suffolk Coastal,E07000205, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7843
5089,2011,Waveney,E07000206, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8389
5122,2011,Camden,E09000007," M Professional, scientific and technical activities",57008
5147,2011,City of London,E09000001, K Financial and insurance activities,163425
5176,2011,Hackney,E09000012," M Professional, scientific and technical activities",14697
5200,2011,Hammersmith and Fulham,E09000013, J Information and communication,22204
5224,2011,Haringey,E09000014, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11221
5257,2011,Islington,E09000019," M Professional, scientific and technical activities",30545
5278,2011,Kensington and Chelsea,E09000020, G Wholesale and retail trade; repair of motor vehicles and motor cycles,20976
5315,2011,Lambeth,E09000022, Q Human health and social work activities,28589
5342,2011,Lewisham,E09000023, Q Human health and social work activities,12756
5359,2011,Newham,E09000025, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15194
5392,2011,Southwark,E09000028," M Professional, scientific and technical activities",31811
5417,2011,Tower Hamlets,E09000030, K Financial and insurance activities,78316
5450,2011,Wandsworth,E09000032, Q Human health and social work activities,19350
5473,2011,Westminster,E09000033," M Professional, scientific and technical activities",84920
5494,2011,Barking and Dagenham,E09000002, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8677
5521,2011,Barnet,E09000003, G Wholesale and retail trade; repair of motor vehicles and motor cycles,21181
5548,2011,Bexley,E09000004, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13069
5575,2011,Brent,E09000005, G Wholesale and retail trade; repair of motor vehicles and motor cycles,19086
5602,2011,Bromley,E09000006, G Wholesale and retail trade; repair of motor vehicles and motor cycles,17933
5629,2011,Croydon,E09000008, G Wholesale and retail trade; repair of motor vehicles and motor cycles,19350
5656,2011,Ealing,E09000009, G Wholesale and retail trade; repair of motor vehicles and motor cycles,22971
5683,2011,Enfield,E09000010, G Wholesale and retail trade; repair of motor vehicles and motor cycles,18662
5719,2011,Greenwich,E09000011, P Education,12594
5737,2011,Harrow,E09000015, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11006
5764,2011,Havering,E09000016, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14657
5792,2011,Hillingdon,E09000017, H Transport and storage,35659
5819,2011,Hounslow,E09000018, H Transport and storage,18061
5845,2011,Kingston upon Thames,E09000021, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13331
5872,2011,Merton,E09000024, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11758
5899,2011,Redbridge,E09000026, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11810
5932,2011,Richmond upon Thames,E09000027," M Professional, scientific and technical activities",10542
5963,2011,Sutton,E09000029, Q Human health and social work activities,12049
5980,2011,Waltham Forest,E09000031, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11864
6007,2011,Bracknell Forest,E06000036, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11612
6034,2011,Brighton and Hove,E06000043, G Wholesale and retail trade; repair of motor vehicles and motor cycles,19555
6061,2011,Isle of Wight,E06000046, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9223
6088,2011,Medway,E06000035, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15844
6115,2011,Milton Keynes,E06000042, G Wholesale and retail trade; repair of motor vehicles and motor cycles,32116
6152,2011,Portsmouth,E06000044, Q Human health and social work activities,15633
6169,2011,Reading,E06000038, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13968
6196,2011,Slough,E06000039, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11914
6233,2011,Southampton,E06000045, Q Human health and social work activities,19213
6250,2011,West Berkshire,E06000037, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13856
6277,2011,Windsor and Maidenhead,E06000040, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11165
6307,2011,Wokingham,E06000041, J Information and communication,10261
6331,2011,Aylesbury Vale,E07000004, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12279
6358,2011,Chiltern,E07000005, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5174
6385,2011,South Bucks,E07000006, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5024
6412,2011,Wycombe,E07000007, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15445
6449,2011,Eastbourne,E07000061, Q Human health and social work activities,9450
6476,2011,Hastings,E07000062, Q Human health and social work activities,7845
6493,2011,Lewes,E07000063, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5618
6530,2011,Rother,E07000064, Q Human health and social work activities,4731
6547,2011,Wealden,E07000065, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9320
6574,2011,Basingstoke and Deane,E07000084, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15820
6601,2011,East Hampshire,E07000085, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7692
6628,2011,Eastleigh,E07000086, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12787
6655,2011,Fareham,E07000087, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8645
6690,2011,Gosport,E07000088, O Public administration and defence; compulsory social security,3861
6712,2011,Hart,E07000089, J Information and communication,5571
6736,2011,Havant,E07000090, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7605
6763,2011,New Forest,E07000091, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11963
6790,2011,Rushmoor,E07000092, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7251
6817,2011,Test Valley,E07000093, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10168
6854,2011,Winchester,E07000094, Q Human health and social work activities,9382
6871,2011,Ashford,E07000105, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10304
6898,2011,Canterbury,E07000106, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12056
6925,2011,Dartford,E07000107, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14443
6952,2011,Dover,E07000108, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5853
6979,2011,Gravesham,E07000109, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5306
7006,2011,Maidstone,E07000110, G Wholesale and retail trade; repair of motor vehicles and motor cycles,12217
7033,2011,Sevenoaks,E07000111, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7408
7060,2011,Folkestone and Hythe,E07000112, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6478
7087,2011,Swale,E07000113, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8924
7124,2011,Thanet,E07000114, Q Human health and social work activities,8545
7141,2011,Tonbridge and Malling,E07000115, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11125
7168,2011,Tunbridge Wells,E07000116, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10549
7195,2011,Cherwell,E07000177, G Wholesale and retail trade; repair of motor vehicles and motor cycles,14133
7231,2011,Oxford,E07000178, P Education,23295
7249,2011,South Oxfordshire,E07000179, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9404
7282,2011,Vale of White Horse,E07000180," M Professional, scientific and technical activities",8420
7303,2011,West Oxfordshire,E07000181, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7330
7330,2011,Elmbridge,E07000207, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9952
7367,2011,Epsom and Ewell,E07000208, Q Human health and social work activities,4963
7384,2011,Guildford,E07000209, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11336
7411,2011,Mole Valley,E07000210, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6236
7448,2011,Reigate and Banstead,E07000211, Q Human health and social work activities,10295
7475,2011,Runnymede,E07000212, Q Human health and social work activities,6551
7492,2011,Spelthorne,E07000213, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6845
7529,2011,Surrey Heath,E07000214, Q Human health and social work activities,7174
7546,2011,Tandridge,E07000215, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5185
7573,2011,Waverley,E07000216, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8365
7600,2011,Woking,E07000217, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6561
7627,2011,Adur,E07000223, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4098
7654,2011,Arun,E07000224, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8805
7681,2011,Chichester,E07000225, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9879
7709,2011,Crawley,E07000226, H Transport and storage,20450
7735,2011,Horsham,E07000227, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9458
7762,2011,Mid Sussex,E07000228, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9407
7799,2011,Worthing,E07000229, Q Human health and social work activities,10575
7816,2011,Bath and North East Somerset,E06000022, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13471
7843,2011,Bournemouth,E06000028, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13569
7870,2011,"Bristol, City of",E06000023, G Wholesale and retail trade; repair of motor vehicles and motor cycles,33548
7897,2011,Cornwall,E06000052, G Wholesale and retail trade; repair of motor vehicles and motor cycles,40970
7926,2011,Isles of Scilly,E06000053, I Accommodation and food service activities,348
7951,2011,North Somerset,E06000024, G Wholesale and retail trade; repair of motor vehicles and motor cycles,15055
7988,2011,Plymouth,E06000026, Q Human health and social work activities,19526
8005,2011,Poole,E06000029, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13469
8032,2011,South Gloucestershire,E06000025, G Wholesale and retail trade; repair of motor vehicles and motor cycles,22090
8059,2011,Swindon,E06000030, G Wholesale and retail trade; repair of motor vehicles and motor cycles,19853
8096,2011,Torbay,E06000027, Q Human health and social work activities,11180
8113,2011,Wiltshire,E06000054, G Wholesale and retail trade; repair of motor vehicles and motor cycles,33418
8140,2011,East Devon,E07000040, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9114
8177,2011,Exeter,E07000041, Q Human health and social work activities,13801
8194,2011,Mid Devon,E07000042, G Wholesale and retail trade; repair of motor vehicles and motor cycles,5434
8221,2011,North Devon,E07000043, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8404
8248,2011,South Hams,E07000044, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6916
8275,2011,Teignbridge,E07000045, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9411
8302,2011,Torridge,E07000046, G Wholesale and retail trade; repair of motor vehicles and motor cycles,3945
8329,2011,West Devon,E07000047, G Wholesale and retail trade; repair of motor vehicles and motor cycles,3396
8356,2011,Christchurch,E07000048, G Wholesale and retail trade; repair of motor vehicles and motor cycles,3774
8383,2011,East Dorset,E07000049, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6298
8410,2011,North Dorset,E07000050, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4492
8445,2011,Purbeck,E07000051, O Public administration and defence; compulsory social security,2896
8474,2011,West Dorset,E07000052, Q Human health and social work activities,8744
8491,2011,Weymouth and Portland,E07000053, G Wholesale and retail trade; repair of motor vehicles and motor cycles,4117
8518,2011,Cheltenham,E07000078, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10520
8545,2011,Cotswold,E07000079, G Wholesale and retail trade; repair of motor vehicles and motor cycles,7501
8561,2011,Forest of Dean,E07000080, C Manufacturing,4470
8609,2011,Gloucester,E07000081, Q Human health and social work activities,11045
8615,2011,Stroud,E07000082, C Manufacturing,8209
8642,2011,Tewkesbury,E07000083, C Manufacturing,8644
