,date,geography,geography_code,Industry,value
8680,2011,Mendip,E07000187, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9642
8707,2011,Sedgemoor,E07000188, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9298
8723,2011,South Somerset,E07000189, C Manufacturing,13677
8771,2011,Taunton Deane,E07000190, Q Human health and social work activities,11474
8790,2011,West Somerset,E07000191, I Accommodation and food service activities,2322
8815,2011,Isle of Anglesey,W06000001, G Wholesale and retail trade; repair of motor vehicles and motor cycles,3592
8852,2011,Gwynedd,W06000002, Q Human health and social work activities,9266
8869,2011,Conwy,W06000003, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8010
8906,2011,Denbighshire,W06000004, Q Human health and social work activities,9290
8912,2011,Flintshire,W06000005, C Manufacturing,18958
8939,2011,Wrexham,W06000006, C Manufacturing,11261
8977,2011,Powys,W06000023, G Wholesale and retail trade; repair of motor vehicles and motor cycles,9364
9013,2011,Ceredigion,W06000008, P Education,5096
9031,2011,Pembrokeshire,W06000009, G Wholesale and retail trade; repair of motor vehicles and motor cycles,8272
9058,2011,Carmarthenshire,W06000010, G Wholesale and retail trade; repair of motor vehicles and motor cycles,13002
9095,2011,Swansea,W06000011, Q Human health and social work activities,18231
9101,2011,Neath Port Talbot,W06000012, C Manufacturing,9793
9139,2011,Bridgend,W06000013, G Wholesale and retail trade; repair of motor vehicles and motor cycles,10012
9176,2011,Vale of Glamorgan,W06000014, Q Human health and social work activities,7337
9193,2011,Cardiff,W06000015, G Wholesale and retail trade; repair of motor vehicles and motor cycles,30359
9230,2011,Rhondda Cynon Taff,W06000016, Q Human health and social work activities,13695
9257,2011,Merthyr Tydfil,W06000024, Q Human health and social work activities,5044
9263,2011,Caerphilly,W06000018, C Manufacturing,10900
9290,2011,Blaenau Gwent,W06000019, C Manufacturing,4312
9317,2011,Torfaen,W06000020, C Manufacturing,6269
9355,2011,Monmouthshire,W06000021, G Wholesale and retail trade; repair of motor vehicles and motor cycles,6740
9382,2011,Newport,W06000022, G Wholesale and retail trade; repair of motor vehicles and motor cycles,11878
