lda1,lda2,region_name,geography_name,geography_code,region_code
-2.1396750699413603,-6.17886961243831,North West,Rossendale,E07000125,E12000002
-3.488245762846262,-11.172110268744783,North West,South Ribble,E07000126,E12000002
-4.897933770881013,-8.649390223748055,North West,West Lancashire,E07000127,E12000002
-2.426577086942431,-7.793804675875729,North West,Wyre,E07000128,E12000002
-2.72913789224365,-8.467965199537417,North West,Knowsley,E08000011,E12000002
-2.8163599051852852,-8.883816011874806,North West,Liverpool,E08000012,E12000002
-4.014544127258449,-10.049857792157292,North West,Sefton,E08000014,E12000002
-3.10926144906756,-8.507828715895236,North West,St. Helens,E08000013,E12000002
-3.678168903159497,-8.423787202014116,North West,Wirral,E08000015,E12000002
-5.1622332088259775,-3.8176967733002396,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,E12000003
-3.931409022691734,-2.3512258685200447,Yorkshire and The Humber,"Kingston upon Hull, City of",E06000010,E12000003
-4.908956660418761,-3.5345906678870707,Yorkshire and The Humber,North East Lincolnshire,E06000012,E12000003
-4.173190065563379,-3.4014093054366477,Yorkshire and The Humber,North Lincolnshire,E06000013,E12000003
-3.7696099448203944,-3.4420552224719643,Yorkshire and The Humber,York,E06000014,E12000003
-2.034889512120648,-3.5332953453095164,Yorkshire and The Humber,Craven,E07000163,E12000003
-4.883080255024123,-3.4329494443193096,Yorkshire and The Humber,Hambleton,E07000164,E12000003
-4.605684835428517,-2.568108483044873,Yorkshire and The Humber,Harrogate,E07000165,E12000003
-5.821782329841126,-2.0935417126904645,Yorkshire and The Humber,Richmondshire,E07000166,E12000003
-1.8947730196792278,-3.4375837565103113,Yorkshire and The Humber,Ryedale,E07000167,E12000003
-4.510694773277343,-5.572496815222107,Yorkshire and The Humber,Scarborough,E07000168,E12000003
-4.649864107148627,-2.2811845087228817,Yorkshire and The Humber,Selby,E07000169,E12000003
-5.101220245232699,-3.001658106422182,Yorkshire and The Humber,Barnsley,E08000016,E12000003
-4.827739817411905,-2.9247723103428585,Yorkshire and The Humber,Doncaster,E08000017,E12000003
-3.7908555598218623,-2.746320931556253,Yorkshire and The Humber,Rotherham,E08000018,E12000003
-4.630422769900404,-4.402004079779457,Yorkshire and The Humber,Sheffield,E08000019,E12000003
-4.302658205181317,-3.334841381610326,Yorkshire and The Humber,Bradford,E08000032,E12000003
-3.605048357025547,-3.6252529132132265,Yorkshire and The Humber,Calderdale,E08000033,E12000003
-4.1702269438282675,-3.7713111381733624,Yorkshire and The Humber,Kirklees,E08000034,E12000003
-4.376783962715907,-3.6826613216263024,Yorkshire and The Humber,Leeds,E08000035,E12000003
-5.104608855784539,-3.5131652033533003,Yorkshire and The Humber,Wakefield,E08000036,E12000003
-1.3815819745214704,0.44278994299986635,East Midlands,Derby,E06000015,E12000004
-1.9844993510821638,0.2643547633026253,East Midlands,Leicester,E06000016,E12000004
-2.7842649242628488,0.03640944630552578,East Midlands,Nottingham,E06000018,E12000004
-2.4002224698697505,2.3572883101872106,East Midlands,Rutland,E06000017,E12000004
-2.811158545681517,0.8876171081790568,East Midlands,Amber Valley,E07000032,E12000004
-1.6662011164591357,-1.0987889408174034,East Midlands,Bolsover,E07000033,E12000004
-1.8549067636892094,-0.21423976277587575,East Midlands,Chesterfield,E07000034,E12000004
-2.2373002286162356,0.9074029146001398,East Midlands,Derbyshire Dales,E07000035,E12000004
-1.934262953874522,2.922311892865208,East Midlands,Erewash,E07000036,E12000004
-1.7876131346446413,-1.8018594753963448,East Midlands,High Peak,E07000037,E12000004
-2.018444362686958,-1.5460522733924138,East Midlands,North East Derbyshire,E07000038,E12000004
-2.6673933866487696,0.8771220302590643,East Midlands,South Derbyshire,E07000039,E12000004
-3.1453462670559627,-0.8507820719919746,East Midlands,Blaby,E07000129,E12000004
-2.306922769052945,0.47398287240728276,East Midlands,Charnwood,E07000130,E12000004
-1.5274634246609398,1.1270300838395986,East Midlands,Harborough,E07000131,E12000004
-2.2501188832655297,-0.3531103098877424,East Midlands,Hinckley and Bosworth,E07000132,E12000004
-1.4020736927709962,0.616894626344798,East Midlands,Melton,E07000133,E12000004
